net,length_um
lsu.loader_state\[1\],21.39µm
lsu.load_fifo.queue\[6\]\[21\],21.365µm
net35,21.36µm
_1808_,21.34µm
_1359_,21.32µm
_1298_,21.28µm
net1139,21.28µm
net966,21.26µm
lsu.load_counter\[3\],21.22µm
_1939_,21.2µm
_1938_,21.18µm
lsu.load_fifo.queue\[14\]\[26\],21.165µm
lsu.store_fifo.queue\[7\]\[7\],21.16µm
_1269_,21.12µm
net82,21.12µm
_1671_,21.1µm
_1999_,21.08µm
lsu.load_fifo.data_in\[16\],21.08µm
net131,21.08µm
net136,21.04µm
lsu.load_fifo.queue\[12\]\[15\],21.02µm
lsu.loader_state\[0\],21.02µm
lsu.load_fifo.queue\[14\]\[24\],20.97µm
_1316_,20.82µm
lsu.load_fifo.queue\[3\]\[16\],20.8µm
_1934_,20.74µm
_1110_,20.7µm
_1275_,20.66µm
store_base_addr[17],20.65µm
count[3],20.62µm
lsu.store_fifo.queue\[1\]\[6\],20.62µm
_1743_,20.58µm
net456,20.56µm
lsu.load_fifo.queue\[13\]\[28\],20.52µm
_1605_,20.515µm
_1261_,20.505µm
_1163_,20.5µm
_1303_,20.5µm
_1632_,20.5µm
lsu.load_fifo.queue\[5\]\[20\],20.5µm
lsu.load_fifo.queue\[11\]\[14\],20.46µm
_1792_,20.42µm
_1285_,20.4µm
lsu.load_fifo.queue\[13\]\[26\],20.37µm
net21,20.355µm
lsu.load_fifo.queue\[2\]\[31\],20.305µm
lsu.load_fifo.queue\[9\]\[17\],20.3µm
_1396_,20.28µm
net83,20.28µm
lsu.load_fifo.queue\[15\]\[0\],20.26µm
lsu.store_counter\[9\],20.26µm
lsu.load_fifo.queue\[3\]\[3\],20.24µm
store_base_addr[7],20.23µm
lsu.store_counter\[0\],20.2µm
lsu.store_fifo.queue\[3\]\[9\],20.18µm
lsu.load_fifo.queue\[2\]\[20\],20.15µm
lsu.load_fifo.queue\[9\]\[21\],20.08µm
lsu.store_fifo.queue\[4\]\[2\],20.04µm
lsu.load_fifo.queue\[15\]\[27\],19.98µm
_1336_,19.97µm
lsu.load_fifo.data_in\[30\],19.96µm
net16,19.92µm
_1063_,19.905µm
_1393_,19.9µm
lsu.load_fifo.queue\[1\]\[21\],19.82µm
store_addr[4],19.81µm
_1582_,19.8µm
net1191,19.72µm
lsu.store_fifo.queue\[15\]\[8\],19.66µm
acc.byte1\[0\],19.64µm
_1672_,19.62µm
lsu.load_fifo.queue\[15\]\[3\],19.6µm
_1712_,19.58µm
lsu.load_fifo.queue\[2\]\[12\],19.57µm
lsu.load_fifo.queue\[6\]\[15\],19.57µm
_1539_,19.54µm
lsu.current_store_addr\[4\],19.54µm
net17,19.52µm
_1106_,19.5µm
_1640_,19.5µm
lsu.load_fifo.queue\[8\]\[27\],19.48µm
lsu.load_fifo.queue\[2\]\[24\],19.43µm
_1728_,19.38µm
lsu.store_fifo.queue\[9\]\[7\],19.38µm
_1263_,19.36µm
lsu.load_fifo.queue\[14\]\[30\],19.345µm
_1725_,19.33µm
lsu.store_fifo.queue\[10\]\[9\],19.325µm
lsu.load_fifo.queue\[8\]\[14\],19.32µm
lsu.store_fifo.queue\[7\]\[2\],19.32µm
_1936_,19.28µm
acc.state,19.28µm
lsu.load_fifo.queue\[11\]\[26\],19.28µm
lsu.load_fifo.queue\[10\]\[26\],19.245µm
lsu.store_fifo.queue\[7\]\[4\],19.24µm
_1483_,19.2µm
lsu.load_fifo.queue\[15\]\[4\],19.2µm
lsu.load_fifo.queue\[14\]\[1\],19.19µm
lsu.load_fifo.queue\[10\]\[1\],19.17µm
net1032,19.16µm
_1422_,19.14µm
_1444_,19.12µm
_1621_,19.1µm
net1212,19.1µm
_1105_,19.08µm
_1305_,19.08µm
_1296_,19.06µm
net128,19.06µm
